vehicle_number,leave_time,train,route_number,direction,service_key,trip_number,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,maximum_speed,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,Date,PDX_TRIP
3227,21635,7867,78,1,U,1010,21600,21635,0,9545,2,0,0,0,0,3,13.94,0,0,7645465.81,647101.01,2,5,2023-01-29,247312552
3227,21664,7867,78,1,U,1010,21616,21655,5,3363,2,0,0,0,0,15,14.01,492,0,7645524.46,646740.55,2,2,2023-01-29,247312552
3227,21703,7867,78,1,U,1010,21660,21703,0,7,0,0,0,0,0,30,14.27,1814,0,7644245.82,646883.23,2,2,2023-01-29,247312552
3227,21728,7867,78,1,U,1010,21682,21728,0,4,0,0,0,0,0,29,14.4,2464,0,7643552.17,647039.77,2,2,2023-01-29,247312552
3227,21770,7867,78,1,U,1010,21728,21770,0,1221,0,0,0,0,0,29,14.66,3852,0,7642650.67,647879.24,2,2,2023-01-29,247312552
3227,21791,7867,78,1,U,1010,21763,21791,0,1219,0,0,0,0,0,36,14.86,4885,0,7641632.53,647907.47,2,2,2023-01-29,247312552
3227,21818,7867,78,1,U,1010,21811,21818,0,1223,0,0,0,0,0,38,15.14,6332,0,7640031.82,647990.19,2,2,2023-01-29,247312552
3227,21837,7867,78,1,U,1010,21846,21837,0,1227,0,0,0,0,0,37,15.33,7379,0,7638949.15,648025.04,2,2,2023-01-29,247312552
3227,21846,7867,78,1,U,1010,21867,21846,0,1231,0,0,0,0,0,38,15.43,8009,0,7638675.89,648044.86,2,2,2023-01-29,247312552
3227,21857,7867,78,1,U,1010,21889,21857,0,1233,0,0,0,0,0,39,15.54,8661,0,7637864.54,648309.83,2,2,2023-01-29,247312552
3227,21883,7867,78,1,U,1010,21934,21883,0,1226,0,0,0,0,0,36,15.8,10013,0,7636640.55,648803.47,2,2,2023-01-29,247312552
3227,21895,7867,78,1,U,1010,21953,21895,0,1229,0,0,0,0,0,34,15.91,10581,0,7636146.66,648859.99,2,2,2023-01-29,247312552
3227,21922,7867,78,1,U,1010,21978,21922,0,1220,0,0,0,0,0,33,16.05,11358,0,7635282.25,648647.25,2,2,2023-01-29,247312552
3227,21947,7867,78,1,U,1010,22005,21947,0,3138,0,0,0,0,0,28,16.2,12165,0,7635509.08,649241.04,2,2,2023-01-29,247312552
3227,21971,7867,78,1,U,1010,22035,21971,0,3133,0,0,0,0,0,32,16.38,13048,0,7635449.22,650076.82,2,2,2023-01-29,247312552
3227,22016,7867,78,1,U,1010,22093,22016,0,3135,0,0,0,0,0,29,16.72,14803,0,7634088.58,650048.4,2,2,2023-01-29,247312552
3227,22032,7867,78,1,U,1010,22115,22032,0,10305,0,0,0,0,0,28,16.83,15440,0,7633523.5,649980.0,2,2,2023-01-29,247312552
3227,22041,7867,78,1,U,1010,22130,22041,0,3129,0,0,0,0,0,30,16.91,15896,0,7633200.94,650251.82,2,2,2023-01-29,247312552
3227,22064,7867,78,1,U,1010,22164,22064,0,3132,0,0,0,0,0,33,17.11,16932,0,7632614.15,651216.25,2,2,2023-01-29,247312552
3227,22093,7867,78,1,U,1010,22206,22093,0,3126,0,0,0,0,0,31,17.35,18176,0,7632446.29,652228.99,2,2,2023-01-29,247312552
3227,22168,7867,78,1,U,1010,22317,22168,0,7579,0,0,0,0,0,34,17.98,21522,0,7630563.35,654413.8,2,2,2023-01-29,247312552
3227,22360,7867,78,1,U,1010,22502,22353,5,3392,2,0,0,0,0,30,19.02,27077,0,7627262.32,654413.9,2,2,2023-01-29,247312552
3227,22384,7867,78,1,U,1010,22535,22384,0,3388,0,0,0,0,0,24,19.16,28068,0,7626900.66,653983.69,2,2,2023-01-29,247312552
3227,22415,7867,78,1,U,1010,22552,22415,0,3389,0,0,0,0,0,17,19.26,28566,0,7626819.7,653361.13,2,2,2023-01-29,247312552
3227,22481,7867,78,1,U,1010,22605,22481,0,13210,0,0,0,0,0,25,19.57,30164,0,7625470.84,653094.78,2,2,2023-01-29,247312552
3227,22496,7867,78,1,U,1010,22628,22496,0,7846,0,0,0,0,0,34,19.7,30866,0,7625434.32,652382.0,2,2,2023-01-29,247312552
3227,22543,7867,78,1,U,1010,22677,22543,0,7848,0,0,0,0,0,25,19.98,32326,0,7625373.51,650897.38,2,2,2023-01-29,247312552
3227,22585,7867,78,1,U,1010,22700,22585,0,13736,0,0,0,0,0,19,20.11,33002,0,7624795.89,650739.11,2,2,2023-01-29,247312552
3227,22734,7867,78,1,U,1010,22786,22734,0,2817,0,0,0,0,0,33,20.55,35604,0,7623848.09,649555.68,2,2,2023-01-29,247312552
3227,22783,7867,78,1,U,1010,22815,22758,20,2810,2,0,1,0,1,28,20.69,36473,0,7623233.92,649847.1,2,2,2023-01-29,247312552
3227,22813,7867,78,1,U,1010,22850,22813,0,2811,0,0,0,0,1,28,20.9,37516,0,7622341.84,650183.15,2,2,2023-01-29,247312552
3227,22850,7867,78,1,U,1010,22896,22850,0,2816,0,0,0,0,1,33,21.17,38898,0,7620942.35,650997.41,2,2,2023-01-29,247312552
